State,District,Date,Daily Actual,Daily Normal,Daily Departure Per,Daily Category
Meghalaya,North Garo Hills,2014-02-08,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-02-08,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-02-08,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-02-09,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-02-10,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-02-11,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,South West Khasi Hills,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,Ri-Bhoi,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,South Garo Hills,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,North Garo Hills,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,East Garo Hills,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,West Garo Hills,2014-02-12,0.0,30.0,-100.0,deficit
Meghalaya,East Khasi Hills,2014-02-13,0.0,30.0,-100.0,deficit
Meghalaya,West Khasi Hills,2014-02-13,0.0,30.0,-100.0,deficit
